crimerate,police.funding,high ,middle,in.college,graduate,City
478,40,74,11,31,20,C1
494,32,72,11,43,18,C2
643,57,70,18,16,16,C3
341,31,71,11,25,19,C4
773,67,72,9,29,24,C5
603,25,68,8,32,15,C6
484,34,68,12,24,14,C7
546,33,62,13,28,11,C8
424,36,69,7,25,12,C9
548,31,66,9,58,15,C10
506,35,60,13,21,9,C11
819,30,81,4,77,36,C12
541,44,66,9,37,12,C13
491,32,67,11,37,16,C14
514,30,65,12,35,11,C15
371,16,64,10,42,14,C16
457,29,64,12,21,10,C17
437,36,62,7,81,27,C18
570,30,59,15,31,16,C19
432,23,56,15,50,15,C20
619,33,46,22,24,8,C21
357,35,54,14,27,13,C22
623,38,54,20,22,11,C23
547,44,45,26,18,8,C24
792,28,57,12,23,11,C25
799,35,57,9,60,18,C26
439,31,61,19,14,12,C27
867,39,52,17,31,10,C28
912,27,44,21,24,9,C29
462,36,43,18,23,8,C30
859,38,48,19,22,10,C31
805,46,57,14,25,12,C32
652,29,47,19,25,9,C33
776,32,50,19,21,9,C34
919,39,48,16,32,11,C35
732,44,49,13,31,14,C36
657,33,72,13,13,22,C37
1419,43,59,14,21,13,C38
989,22,49,9,46,13,C39
821,30,54,13,27,12,C40
1740,86,62,22,18,15,C41
815,30,47,17,39,11,C42
760,32,45,34,15,10,C43
936,43,48,26,23,12,C44
863,20,69,23,7,12,C45
783,55,42,23,23,11,C46
715,44,49,18,30,12,C47
1504,37,57,15,35,13,C48
1324,82,72,22,15,16,C49
940,66,67,26,18,16,C50
